playerID,Seasons,fullName,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,walks,BA,OBP,1B,SLUG,OPS,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
lopezhe01,13,Hector Lopez,1450,4644,623,1251,193,37,136,591.0,16.0,23.0,418,696.0,23.0,44.0,441.0,0.269,0.33,885,0.415,0.745,B,2024.0,1478.0,170.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lopezja01,16,Javy Lopez,1503,5319,674,1527,267,19,260,864.0,8.0,19.0,357,969.0,66.0,45.0,423.0,0.287,0.337,981,0.491,0.828,B,8991.0,631.0,73.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,N
lopezjo01,11,Jose Lopez,1036,3841,421,1005,215,11,92,480.0,25.0,17.0,150,471.0,31.0,34.0,181.0,0.262,0.292,687,0.395,0.687,B,1756.0,2463.0,97.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
lordha01,10,Harry Lord,972,3691,509,1026,107,70,14,294.0,206.0,2.0,226,171.0,38.0,0.0,264.0,0.278,0.326,835,0.356,0.682,B,1110.0,1594.0,223.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
loretma01,16,Mark Loretta,1726,5812,768,1713,309,22,76,629.0,47.0,35.0,555,605.0,71.0,64.0,626.0,0.295,0.36,1306,0.395,0.755,B,3465.0,3490.0,92.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,N
lowebo01,19,Bobby Lowe,1821,7078,1135,1934,230,85,71,989.0,303.0,0.0,474,436.0,71.0,0.0,545.0,0.273,0.325,1548,0.36,0.685,B,4226.0,4756.0,508.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lowelmi01,13,Mike Lowell,1601,5813,771,1619,394,7,223,952.0,30.0,14.0,548,817.0,52.0,84.0,600.0,0.279,0.342,995,0.464,0.806,B,1468.0,2725.0,104.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,N
lowenjo01,16,John Lowenstein,1368,3476,510,881,137,18,116,441.0,128.0,78.0,446,596.0,9.0,30.0,455.0,0.253,0.337,610,0.403,0.74,B,1803.0,376.0,43.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lowrepe01,15,Peanuts Lowrey,1401,4317,564,1177,186,45,37,479.0,48.0,3.0,403,226.0,11.0,3.0,414.0,0.273,0.336,909,0.362,0.698,B,2333.0,477.0,78.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
luderfr01,13,Fred Luderus,1346,4851,570,1344,251,54,84,642.0,55.0,8.0,414,429.0,45.0,0.0,459.0,0.277,0.34,955,0.403,0.743,B,13126.0,843.0,201.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lugoju01,15,Julio Lugo,1352,4758,688,1279,238,34,80,475.0,198.0,69.0,439,876.0,37.0,40.0,476.0,0.269,0.333,927,0.384,0.717,B,2040.0,3284.0,184.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lummi01,16,Mike Lum,1517,3554,404,877,128,20,90,431.0,13.0,29.0,366,506.0,28.0,33.0,394.0,0.247,0.319,639,0.37,0.689,B,3721.0,179.0,39.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lumpeje01,13,Jerry Lumpe,1371,4912,620,1314,190,52,47,454.0,20.0,15.0,428,411.0,8.0,36.0,436.0,0.268,0.325,1025,0.356,0.681,B,2715.0,3329.0,124.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
luzingr01,15,Greg Luzinski,1821,6505,880,1795,344,24,307,1128.0,37.0,31.0,845,1495.0,84.0,79.0,929.0,0.276,0.363,1120,0.478,0.841,B,2120.0,105.0,57.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,N
lynchje01,14,Jerry Lynch,1184,2879,364,798,123,34,115,470.0,12.0,17.0,224,416.0,9.0,25.0,233.0,0.277,0.329,526,0.463,0.792,B,965.0,46.0,37.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lynnfr01,18,Fred Lynn,1969,6925,1063,1960,388,43,306,1111.0,72.0,54.0,857,1116.0,30.0,86.0,887.0,0.283,0.36,1223,0.484,0.844,B,4556.0,114.0,55.0,0.99,0.0,4.0,0.0,1.0,0.0,1.0,0.0,9.0,N
lyonsde01,13,Denny Lyons,1123,4300,933,1334,244,69,62,756.0,224.0,0.0,623,280.0,82.0,0.0,705.0,0.31,0.407,959,0.442,0.849,B,2021.0,2145.0,514.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
mabryjo01,17,John Mabry,1322,3409,382,898,183,6,96,446.0,7.0,12.0,284,717.0,22.0,29.0,306.0,0.263,0.322,613,0.405,0.727,B,3793.0,433.0,54.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
